varnum,varname
97,enh_tsmart_enhanced_hh_num_females
98,enh_tsmart_enhanced_hh_num_registered
99,enh_tsmart_enhanced_hh_num_unregistered
100,enh_tsmart_enhanced_hh_num_dems
101,enh_tsmart_enhanced_hh_num_reps
102,enh_tsmart_enhanced_hh_num_others
103,vhsyn_vf_g2018_synthetic
104,vhsyn_vf_g2016_synthetic
105,vhsyn_vf_g2014_synthetic
106,vhsyn_vf_g2012_synthetic
107,vhsyn_vf_g2010_synthetic
108,vhsyn_vf_g2008_synthetic
109,vhsyn_vf_g2006_synthetic
110,vhsyn_vf_g2004_synthetic
111,vhsyn_vf_g2002_synthetic
112,vhsyn_vf_g2000_synthetic
113,vhsyn_vf_p2018_synthetic
114,vhsyn_vf_p2016_synthetic
115,vhsyn_vf_p2014_synthetic
116,vhsyn_vf_p2012_synthetic
117,vhsyn_vf_p2010_synthetic
118,vhsyn_vf_p2008_synthetic
119,vhsyn_vf_p2006_synthetic
120,vhsyn_vf_p2004_synthetic
121,vhsyn_vf_p2002_synthetic
122,vhsyn_vf_p2000_synthetic
123,vhsyn_vf_pp2016_synthetic
124,vhsyn_vf_pp2012_synthetic
125,vhsyn_vf_pp2008_synthetic
126,vhsyn_vf_pp2004_synthetic
127,vhsyn_vf_pp2000_synthetic
128,vhsyn_vf_g2017_synthetic
129,vhsyn_vf_g2015_synthetic
130,vhsyn_vf_g2013_synthetic
131,vhsyn_vf_g2011_synthetic
132,vhsyn_vf_g2009_synthetic
133,vhsyn_vf_g2007_synthetic
134,vhsyn_vf_g2005_synthetic
135,vhsyn_vf_g2003_synthetic
136,vhsyn_vf_g2001_synthetic
137,xpg_ind_lvl_occupation_code
138,xpg_ind_lvl_business_owner
139,xpg_homeowner_probability_model
140,xpg_home_business
141,xpg_length_of_residence
142,xpg_number_of_children_in_living_unit
143,xpg_mor_bank_upscale_merchandise_buyer
144,xpg_mor_bank_male_merchandise_buyer
145,xpg_mor_bank_female_merchandise_buyer
146,xpg_mor_bank_crafts_hobby_merchandise_buyer
147,xpg_mor_bank_gardening_farming_buyer
148,xpg_mor_bank_book_buyer
149,xpg_mor_bank_collect_special_foods_buyer
150,xpg_mor_bank_gifts_and_gadgets_buyer
151,xpg_mor_bank_general_merchandise_buyer
152,xpg_mor_bank_family_and_general_magazine
153,xpg_mor_bank_female_oriented_magazine
154,xpg_mor_bank_male_sports_magazine
155,xpg_mor_bank_religious_magazine
156,xpg_mor_bank_gardening_farming_magazine
157,xpg_mor_bank_culinary_interests_magazine
158,xpg_mor_bank_health_and_fitness_magazine
159,xpg_mor_bank_do_it_yourselfers
160,xpg_mor_bank_news_and_financial
161,xpg_mor_bank_photography
162,xpg_mor_bank_opportunity_seekers_and_ce
163,xpg_mor_bank_religious_contributor
164,xpg_mor_bank_political_contributor
165,xpg_mor_bank_health_and_institution_contributor
166,xpg_mor_bank_general_contributor
167,xpg_mor_bank_odds_and_ends
168,xpg_mortgage_home_purchase_home_purchase_price
169,xpg_property_realty_home_year_built
170,xpg_property_realty_home_land_value
171,xpg_property_realty_property_indicator
172,xpg_property_realty_year_built_confidence
173,xpg_estimated_current_home_value
174,xpg_green_aware
175,xpg_greenaware_tiers
176,xpg_auto_in_the_market_new
177,xpg_auto_in_the_market_used
178,xpg_auto_in_the_market_used_0_5_vehicle
179,xpg_auto_in_the_market_used_6plus_vehicle
180,xpg_core_based_statistical_area_type
181,xpg_property_realty_total_tax
182,xpg_property_realty_home_land_square_footage
183,xpg_mortgage_home_purchase_type_of_purchase
184,xpg_mortgage_home_purchase_mortgage_amount
185,xpg_mortgage_home_purchase_mortgage_term_in_months
186,xpg_mortgage_home_purchase_down_payment_pct
187,xpg_mortgage_home_purchase_equity_amount_in_thousands
188,xpg_mortgage_home_purchase_equity_term
189,xpg_mortgage_home_purchase_refinance_amount
190,xpg_mortgage_home_purchase_refinance_term
191,xpg_investment_property_purchase_amount
192,xpg_investment_property_mortgage_amount
193,xpg_investment_property_mortgage_term
194,xpg_investment_property_equity_amount
195,xpg_investment_property_equity_term
196,xpg_investment_property_refinance_amount_in_thousands
197,xpg_investment_property_refinance_term
198,xpg_investment_property_additional_investment_flag
199,xpg_tran_24_month_credit_purchase
200,xpg_tran_ltd_purchase_frequency
201,xpg_online_accessories
202,xpg_online_active_outdoors_hard_goods
203,xpg_online_active_outdoors_soft_goods
204,xpg_online_apparel
205,xpg_online_computers
206,xpg_online_electronics_and_gadgets
207,xpg_online_food_and_beverages
208,xpg_online_furniture
209,xpg_online_general_misc
210,xpg_online_hobbies_and_entertainment
211,xpg_online_home_decor
212,xpg_online_home_domestics
213,xpg_online_home_maintenance
214,xpg_online_home_office
215,xpg_online_kitchen
216,xpg_online_lawn_and_garden
217,xpg_online_outdoor_living
218,xpg_online_overall
219,xpg_online_personal_health
220,xpg_online_pets
221,xpg_online_seasonal_products
222,xpg_online_shoes
223,xpg_online_tabletop_and_dining
224,xpg_online_tools_and_automotive
225,xpg_online_toys
226,xpg_online_travel
227,xpg_retail_accessories
228,xpg_retail_active_outdoors_hard_goods
229,xpg_retail_active_outdoors_soft_goods
230,xpg_retail_apparel
231,xpg_retail_computers
232,xpg_retail_electronics_and_gadgets
233,xpg_retail_food_and_beverages
234,xpg_retail_furniture
235,xpg_retail_general_misc
236,xpg_retail_hobbies_and_entertainment
237,xpg_retail_home_decor
238,xpg_retail_home_domestics
239,xpg_retail_home_maintenance
240,xpg_retail_home_office
241,xpg_retail_kitchen
242,xpg_retail_lawn_and_garden
243,xpg_retail_outdoor_living
244,xpg_retail_overall
245,xpg_retail_personal_health
246,xpg_retail_pets
247,xpg_retail_seasonal_products
248,xpg_retail_shoes
249,xpg_retail_tabletop_and_dining
250,xpg_retail_tools_and_automotive
251,xpg_retail_toys
252,xpg_retail_travel
253,xpg_tt_buy_american
254,xpg_tt_show_me_the_money
255,xpg_tt_go_with_the_flow
256,xpg_tt_no_time_like_present
257,xpg_tt_never_show_up_empty_handed
258,xpg_tt_on_the_road_again
259,xpg_tt_look_at_me_now
260,xpg_tt_stop_and_smell_the_roses
261,xpg_tt_work_hard_play_hard
262,xpg_tt_penny_saved_a_penny_earned
263,xpg_tt_its_all_in_the_name
264,xpg_truetouch_broadcast_cable_tv
265,xpg_truetouch_direct_mail
266,xpg_truetouch_email_engagement
267,xpg_truetouch_internet_radio
268,xpg_truetouch_mobile_display
269,xpg_truetouch_mobile_video
270,xpg_truetouch_online_video
271,xpg_truetouch_online_display
272,xpg_truetouch_online_streaming_tv
273,xpg_truetouch_satellite_radio
274,xpg_truetouch_brick_mortar
275,xpg_truetouch_online_mid_high
276,xpg_truetouch_e_tailer
277,xpg_truetouch_online_discount
278,xpg_truetouch_online_bid_mrktplc
279,xpg_act_int_amusement_park_visitors
280,xpg_act_int_arts_and_crafts
281,xpg_act_int_attend_order_educational_programs
282,xpg_act_int_audio_book_listener
283,xpg_act_int_avid_runners
284,xpg_act_int_boating
285,xpg_act_int_book_reader
286,xpg_act_int_canoeing_kayaking
287,xpg_act_int_casino_gambling
288,xpg_act_int_cat_owners
289,xpg_act_int_coffee_connoisseurs
290,xpg_act_int_cultural_arts
291,xpg_act_int_digital_magazine_newspapers_buyers
292,xpg_act_int_dog_owners
293,xpg_act_int_do_it_yourselfers
294,xpg_act_int_eats_at_family_restaurants
295,xpg_act_int_eats_at_fast_food_restaurants
296,xpg_act_int_e_book_reader
297,xpg_act_int_fishing
298,xpg_act_int_fitness_enthusiast
299,xpg_act_int_gourmet_cooking
300,xpg_act_int_healthy_living
301,xpg_act_int_home_improvement_spenders
302,xpg_act_int_hunting_enthusiasts
303,xpg_act_int_listens_to_80s_music
304,xpg_act_int_listens_to_alternative_music
305,xpg_act_int_listens_to_christian_music
306,xpg_act_int_listens_to_classical_music
307,xpg_act_int_listens_to_country_music
308,xpg_act_int_listens_to_hip_hop_music
309,xpg_act_int_listens_to_jazz_music
310,xpg_act_int_listens_to_music
311,xpg_act_int_listens_to_oldies_music
312,xpg_act_int_listens_to_pop_music
313,xpg_act_int_listens_to_rock_music
314,xpg_act_int_mlb_enthusiast
315,xpg_act_int_music_download
316,xpg_act_int_music_streaming
317,xpg_act_int_nascar_enthusiast
318,xpg_act_int_nba_enthusiast
319,xpg_act_int_nfl_enthusiast
320,xpg_act_int_nhl_enthusiast
321,xpg_act_int_on_a_diet
322,xpg_act_int_outdoor_enthusiast
323,xpg_act_int_pet_enthusiast
324,xpg_act_int_pga_tour_enthusiast
325,xpg_act_int_photography
326,xpg_act_int_play_golf
327,xpg_act_int_plays_hockey
328,xpg_act_int_plays_soccer
329,xpg_act_int_plays_tennis
330,xpg_act_int_political_viewing_on_tv_conservative
331,xpg_act_int_political_viewing_on_tv_liberal
332,xpg_act_int_political_viewing_on_tv_liberal_comedy
333,xpg_act_int_scrapbooking
334,xpg_act_int_snow_sports
335,xpg_act_int_sports_enthusiast
336,xpg_act_int_sweepstakes_lottery
337,xpg_act_int_video_gamer
338,xpg_act_int_weight_conscious
339,xpg_act_int_wine_lovers
340,xpg_act_int_zoo_visitors
341,xpg_buyer_coupon_users
342,xpg_buyer_high_end_spirit_drinkers
343,xpg_buyer_laptop_owners
344,xpg_buyer_loyalty_card_user
345,xpg_buyer_luxury_home_goods_store_shopper
346,xpg_buyer_luxury_store_shoppers
347,xpg_buyer_non_prestige_makeup_brand_user
348,xpg_buyer_presence_of_automobile
349,xpg_buyer_prestige_makeup_user
350,xpg_buyer_security_system_owners
351,xpg_buyer_supercenter_shoppers
352,xpg_buyer_tablet_owners
353,xpg_buyer_warehouse_club_members
354,xpg_buyer_young_adult_clothing_shoppers
355,xpg_memberships_aarp_members
356,xpg_memberships_union_member
357,xpg_invest_active_investor
358,xpg_invest_brokerage_account_owner
359,xpg_invest_have_a_retirement_financial_plan
360,xpg_invest_mutual_fund_investor
361,xpg_invest_participate_in_online_trading
362,xpg_lifestyle_frequent_flyer_program_member
363,xpg_lifestyle_have_grandchildren
364,xpg_lifestyle_high_frequency_business_traveler
365,xpg_lifestyle_high_frequency_cruise_enthusiast
366,xpg_lifestyle_high_frequency_domestic_vacationer
367,xpg_lifestyle_high_frequency_foreign_vacationer
368,xpg_lifestyle_hotel_guest_loyalty_program
369,xpg_lifestyle_interest_in_religion
370,xpg_lifestyle_life_insurance_policy_holders
371,xpg_lifestyle_medical_insurance_policy_holders
372,xpg_lifestyle_medicare_policy_holders
373,xpg_lifestyle_military_active
374,xpg_lifestyle_military_inactive
375,xpg_working_couples_dual_income
376,xpg_hobbies_gardening
377,xpg_donor_contributes_by_volunteering
378,xpg_donor_contributes_to_arts_culture_charities
379,xpg_donor_contributes_to_charities
380,xpg_donor_contributes_to_education_charities
381,xpg_donor_contributes_to_health_charities
382,xpg_donor_contributes_to_political_charities
383,xpg_donor_contributes_to_private_foundations
384,xpg_financial_corporate_credit_card_user
385,xpg_financial_credit_card_user
386,xpg_financial_debit_card_user
387,xpg_financial_major_credit_card_user
388,xpg_financial_premium_credit_card_user
389,xpg_financial_store_credit_card_user
390,xpg_technology_adoption
391,xpg_email_engagement
392,xpg_tt_decisionstyle_savvy_researchers
393,xpg_tt_decisionstyle_organic_and_natural
394,xpg_tt_decisionstyle_brand_loyalists
395,xpg_tt_decisionstyle_trendsetters
396,xpg_tt_decisionstyle_deal_seeker
397,xpg_tt_decisionstyle_recreational_shoppers
398,xpg_tt_decisionstyle_quality_matters
399,xpg_tt_decisionstyle_in_the_moment_shoppers
400,xpg_tt_decisionstyle_mainstream_adopters
401,xpg_tt_decisionstyle_novelty_seekers
402,xpg_tt_conversion_online_deal_voucher
403,xpg_tt_conversion_discount_supercenters
404,xpg_tt_conversion_ebid_sites
405,xpg_tt_conversion_etail_only
406,xpg_tt_conversion_mid_high_end_store
407,xpg_tt_conversion_specialty_dept_store
408,xpg_tt_conversion_specialty_or_boutique
409,xpg_tt_conversion_wholesale
410,ts_tsmart_partisan_score
411,ts_tsmart_presidential_general_turnout_score
412,ts_tsmart_midterm_general_turnout_score
413,ts_tsmart_midterm_general_enthusiasm_score
414,ts_tsmart_offyear_general_turnout_score
415,ts_tsmart_presidential_primary_turnout_score
416,ts_tsmart_non_presidential_primary_turnout_score
417,ts_tsmart_local_voter_score
418,ts_tsmart_teaparty_score
419,ts_tsmart_ideology_score
420,ts_tsmart_moral_authority_score
421,ts_tsmart_children_present_score
422,ts_tsmart_college_graduate_score
423,ts_tsmart_high_school_only_score
424,ts_tsmart_income_rank_score
425,ts_tsmart_evangelical_raw_score
426,ts_tsmart_prochoice_score
427,ts_tsmart_path_to_citizen_score
428,ts_tsmart_climate_change_score
429,ts_tsmart_gun_control_score
430,ts_tsmart_minimum_wage_score
431,ts_tsmart_working_class_score
432,ts_tsmart_activist_score
433,ts_tsmart_trump_resistance_score
434,ts_tsmart_trump_support_score
435,ts_tsmart_gunowner_score
436,ts_tsmart_veteran_score
437,ts_tsmart_progressive_tax_score
438,ts_tsmart_ideology_enhanced_score
439,ts_tsmart_labor_union_support_score
440,ts_tsmart_urbanicity
441,ts_tsmart_urbanicity_rank
442,predictwise_authoritarianism_score
443,predictwise_compassion_score
444,predictwise_economic_populism_score
445,predictwise_environmentalism_score
446,predictwise_free_trade_score
447,predictwise_globalism_score
448,predictwise_guns_score
449,predictwise_healthcare_women_score
450,predictwise_healthcare_score
451,predictwise_immigrants_score
452,predictwise_military_score
453,predictwise_populism_score
454,predictwise_poor_score
455,predictwise_presidential_score
456,predictwise_racial_resentment_score
457,predictwise_regulation_score
458,predictwise_religious_freedom_score
459,predictwise_taxes_score
460,predictwise_traditionalism_score
461,predictwise_trust_in_institutions_score
