varnum,column,num_nulls,field_name,perc_missing,field_desc,in.out,hannah,fa.h,model,Reasoning,Notes
40,vb.tsmart_address_usps_address_code,79897,TargetSmart Address - USPS Code,9%,Type of building derived from various USPS codes,1,1,,,,
459,predictwise.taxes_score,102127,predictwise.taxes_score,12%,"The Predictwise taxes score measures the probability that an individual supports tax raises. The model was based off attitudes regarding taxation on the wealthy and middle class, inheritance taxes, corporate taxes and capital gains taxes. The score ranges from 0-100, with 0 meaning an individual does not support tax raises, and 100 meaning an individual fully supports tax raises. See the Predictive Model Score Release Notes for more details.",1,1,,1,,
445,predictwise.environmentalism_score,116253,predictwise.environmentalism_score,14%,"The Predictwise environmentalism score measures the probability that an individual supports protecting the environment. The model was built using questions about attitudes  towards renewable energy, climate change, human behavior in climate change, and oil and gas exploration. The score ranges from 0-100, with 0 being no support for protecting the environment, and 100 being full support for protecting the environment. See the Predictive Model Score Release Notes for more details.",1,1,,1,,
48,vb.vf_voter_status,164782,Voter Status,19%,Indicates whether voter is considered active or inactive by the Secretary of State or State Board of Elections.,1,1,,,,
49,vb.vf_party,164782,Party Registration,19%,Party Affiliation of the voter,1,1,,,repeat from above?,
103,vhsyn.vf_g2018_synthetic,164782,Synthetics - General 2018,19%,Individual vote history synthetics. Status of participation in 2018 General Election.,1,1,2,,aggregate,
104,vhsyn.vf_g2016_synthetic,164782,Synthetics - General 2016,19%,Individual vote history synthetics.  Status of participation in 2016 General Election.,1,1,2,,aggregate,
105,vhsyn.vf_g2014_synthetic,164782,Synthetics - General 2014,19%,Individual vote history synthetics. Status of participation in 2014 General Election.,1,1,2,,aggregate,
106,vhsyn.vf_g2012_synthetic,164782,Synthetics - General 2012,19%,Individual vote history synthetics.  Status of participation in 2012 General Election.,1,1,2,,aggregate,
107,vhsyn.vf_g2010_synthetic,164782,Synthetics - General 2010,19%,Individual vote history synthetics.  Status of participation in 2010 General Election.,1,1,2,,aggregate,
108,vhsyn.vf_g2008_synthetic,164782,Synthetics - General 2008,19%,Individual vote history synthetics.  Status of participation in 2008 General Election.,1,1,2,,aggregate,
109,vhsyn.vf_g2006_synthetic,164782,Synthetics - General 2006,19%,Individual vote history synthetics.  Status of participation in 2006 General Election.,1,1,2,,aggregate,
110,vhsyn.vf_g2004_synthetic,164782,Synthetics - General 2004,19%,Individual vote history synthetics.  Status of participation in 2004 General Election.,1,1,2,,aggregate,
111,vhsyn.vf_g2002_synthetic,164782,Synthetics - General 2002,19%,Individual vote history synthetics.  Status of participation in 2002 General Election.,1,1,2,,aggregate,
112,vhsyn.vf_g2000_synthetic,164782,Synthetics - General 2000,19%,Individual vote history synthetics.  Status of participation in 2000 General Election.,1,1,2,,aggregate,
113,vhsyn.vf_p2018_synthetic,164782,Synthetics - Primary 2018,19%,Individual vote history synthetics. Status of participation in 2018 Primary Election.,1,1,3,,aggregate,
114,vhsyn.vf_p2016_synthetic,164782,Synthetics - Primary 2016,19%,Individual vote history synthetics. Status of participation in 2016 Primary Election.,1,1,3,,aggregate,
115,vhsyn.vf_p2014_synthetic,164782,Synthetics - Primary 2014,19%,Individual vote history synthetics. Status of participation in 2014 Primary Election.,1,1,3,,aggregate,
116,vhsyn.vf_p2012_synthetic,164782,Synthetics - Primary 2012,19%,Individual vote history synthetics.  Status of participation in 2012 Primary Election.,1,1,3,,aggregate,
117,vhsyn.vf_p2010_synthetic,164782,Synthetics - Primary 2010,19%,Individual vote history synthetics.  Status of participation in 2010 Primary Election.,1,1,3,,aggregate,
118,vhsyn.vf_p2008_synthetic,164782,Synthetics - Primary 2008,19%,Individual vote history synthetics.  Status of participation in 2008 Primary Election.,1,1,3,,aggregate,
119,vhsyn.vf_p2006_synthetic,164782,Synthetics - Primary 2006,19%,Individual vote history synthetics.  Status of participation in 2006 Primary Election.,1,1,3,,aggregate,
120,vhsyn.vf_p2004_synthetic,164782,Synthetics - Primary 2004,19%,Individual vote history synthetics.  Status of participation in 2004 Primary Election.,1,1,3,,aggregate,
121,vhsyn.vf_p2002_synthetic,164782,Synthetics - Primary 2002,19%,Individual vote history synthetics.  Status of participation in 2002 Primary Election.,1,1,3,,aggregate,
122,vhsyn.vf_p2000_synthetic,164782,Synthetics - Primary 2000,19%,Individual vote history synthetics.  Status of participation in 2000 Primary Election.,1,1,3,,aggregate,
123,vhsyn.vf_pp2016_synthetic,164782,Synthetics - Presidential Primary 2016,19%,Individual vote history synthetics. Status of participation in 2016 Presidential Primary Election.,1,1,4,,aggregate,
124,vhsyn.vf_pp2012_synthetic,164782,Synthetics - Presidential Primary 2012,19%,Individual vote history synthetics.  Status of participation in 2012 Presidential Primary Election.,1,1,4,,aggregate,
125,vhsyn.vf_pp2008_synthetic,164782,Synthetics - Presidential Primary 2008,19%,Individual vote history synthetics.  Status of participation in 2008 Presidential Primary Election.,1,1,4,,aggregate,
126,vhsyn.vf_pp2004_synthetic,164782,Synthetics - Presidential Primary 2004,19%,Individual vote history synthetics.  Status of participation in 2004 Presidential Primary Election.,1,1,4,,aggregate,
127,vhsyn.vf_pp2000_synthetic,164782,Synthetics - Presidential Primary 2000,19%,Individual vote history synthetics.  Status of participation in 2000 Presidential Primary Election.,1,1,4,,aggregate,
128,vhsyn.vf_g2017_synthetic,164782,Synthetics - General 2017,19%,Individual vote history synthetics. Status of participation in 2017 General Election.,1,1,2,,aggregate,
129,vhsyn.vf_g2015_synthetic,164782,Synthetics - General 2015,19%,Individual vote history synthetics. Status of participation in 2015 General Election.,1,1,2,,aggregate,
130,vhsyn.vf_g2013_synthetic,164782,Synthetics - General 2013,19%,Individual vote history synthetics. Status of participation in 2013 General Election.,1,1,2,,aggregate,
131,vhsyn.vf_g2011_synthetic,164782,Synthetics - General 2011,19%,Individual vote history synthetics.  Status of participation in 2011 General Election.,1,1,2,,aggregate,
132,vhsyn.vf_g2009_synthetic,164782,Synthetics - General 2009,19%,Individual vote history synthetics.  Status of participation in 2009 General Election.,1,1,2,,aggregate,
133,vhsyn.vf_g2007_synthetic,164782,Synthetics - General 2007,19%,Individual vote history synthetics.  Status of participation in 2007 General Election.,1,1,2,,aggregate,
134,vhsyn.vf_g2005_synthetic,164782,Synthetics - General 2005,19%,Individual vote history synthetics.  Status of participation in 2005 General Election.,1,1,2,,aggregate,
135,vhsyn.vf_g2003_synthetic,164782,Synthetics - General 2003,19%,Individual vote history synthetics.  Status of participation in 2003 General Election.,1,1,2,,aggregate,
136,vhsyn.vf_g2001_synthetic,164782,Synthetics - General 2001,19%,Individual vote history synthetics.  Status of participation in 2001 General Election.,1,1,2,,aggregate,
